name_ru,name_en,name_kz,coordinates,address_ru,address_en,address_kz,latitude,longitude
Полицейский Участок № 22,Police Station #22,№22 Полиция Бөлімшесі,"49.97430983981579, 82.59787378007613","Киевская улица, 113","Kyiv street, 113","Киев көшесі, 113",49.97430983981579,82.59787378007613
Полицейский Участок № 9,Police Station #9,№9 Полиция Бөлімшесі,"49.959738589839674, 82.594387638467","Улица Серикбаева, 1/2","Street Serikbaeva, 1/2","Серікбаев көшесі, 1/2",49.959738589839674,82.594387638467
Полицейский Участок № 13,Police Station #13,№13 Полиция Бөлімшесі,"49.962415353011906, 82.61520907830469",Проспект Абая 14,Abay Ave 14,Абай даңғылы 14,49.962415353011906,82.61520907830469
Полицейский Участок № 1,Police Station #1,№1 Полиция Бөлімшесі,"49.95242654263891, 82.61684340303344",ул. Горького 86,Gorkiy St 86,"Горький көшесі, 86",49.95242654263891,82.61684340303344
Полицейский Участок № 8,Police Station #8,№8 Полиция Бөлімшесі,"49.94756523091831, 82.59945209499587",Набережная имени Славского 40,Slavsky Embankment 40,Славский жағалауы 40,49.94756523091831,82.59945209499587
Ульбинский Районный Отдел Полиции,Ulba District Police Department,Үлбі Аудандық Полиция Бөлімі,"49.97861844977542, 82.59967808642588","улица Стахановская, 2а","Stakhanovskaya street, 2a","Стахановская көшесі, 2а",49.97861844977542,82.59967808642588
Полицейский Участок № 2,Police Station #2,№2 Полиция Бөлімшесі,"49.95522882579243, 82.62291410818281",ул. Протозанова 47,Protozanov St 47,"Протозанов көшесі, 47",49.95522882579243,82.62291410818281
Отдел Полиции Усть-Каменогорска,Oskemen Police Department,Өскемен Полиция Бөлімі,"49.954179591372196, 82.62900808728511",ул. Кабанбай батыра 152,Kabanbay Batyr St 152,"Қабанбай батыр көшесі, 152",49.954179591372196,82.62900808728511
Полицейский Участок № 3,Police Station #3,№3 Полиция Бөлімшесі,"49.962462398805364, 82.63939360096653",Улица Казахстан 161,Kazakhstan street 161,Қазақстан көшесі 161,49.962462398805364,82.63939360096653
Полицейский Участок № 4,Police Station #4,№4 Полиция Бөлімшесі,"49.949259202596565, 82.64436273406609",ул. Новаторов 3,Novatorov St 3,"Новаторов көшесі, 3",49.949259202596565,82.64436273406609
Полицейское Управление Левого Берега,Left Bank Police Department,Сол Жағалаудағы Полиция Бөлімі,"49.899083090729206, 82.62055599014029","улица Утепова, 2А","Utepov Street, 2A","Өтепов көшесі, 2А",49.899083090729206,82.62055599014029
